Height,Weight,Height_bin
167.1,51.3,"(166.42, 168.193]"
181.7,61.9,"(180.607, 182.38]"
176.3,69.4,"(175.287, 177.06]"
173.3,64.6,"(171.74, 173.513]"
172.2,65.5,"(171.74, 173.513]"
174.5,55.9,"(173.513, 175.287]"
177.3,64.2,"(177.06, 178.833]"
177.8,61.9,"(177.06, 178.833]"
172.5,51.0,"(171.74, 173.513]"
169.6,54.7,"(168.193, 169.967]"
168.9,57.8,"(168.193, 169.967]"
171.8,51.8,"(171.74, 173.513]"
173.5,57.0,"(171.74, 173.513]"
170.5,55.5,"(169.967, 171.74]"
173.4,52.7,"(171.74, 173.513]"
180.6,63.5,"(178.833, 180.607]"
168.8,58.7,"(168.193, 169.967]"
174.4,64.9,"(173.513, 175.287]"
180.9,62.6,"(180.607, 182.38]"
170.5,56.3,"(169.967, 171.74]"
172.3,64.1,"(171.74, 173.513]"
175.0,65.1,"(173.513, 175.287]"
161.2,44.4,"(161.073, 162.873]"
173.8,58.7,"(173.513, 175.287]"
171.8,64.3,"(171.74, 173.513]"
170.7,58.8,"(169.967, 171.74]"
179.9,64.6,"(178.833, 180.607]"
171.4,59.7,"(169.967, 171.74]"
169.0,49.1,"(168.193, 169.967]"
166.2,51.7,"(164.647, 166.42]"
176.6,46.9,"(175.287, 177.06]"
167.2,54.8,"(166.42, 168.193]"
172.3,57.1,"(171.74, 173.513]"
179.3,61.8,"(178.833, 180.607]"
182.4,63.5,"(182.38, 184.153]"
175.8,58.4,"(175.287, 177.06]"
169.7,64.3,"(168.193, 169.967]"
171.9,55.0,"(171.74, 173.513]"
172.2,59.6,"(171.74, 173.513]"
162.7,48.4,"(161.073, 162.873]"
174.2,56.4,"(173.513, 175.287]"
165.6,56.6,"(164.647, 166.42]"
176.9,63.4,"(175.287, 177.06]"
172.6,62.3,"(171.74, 173.513]"
167.6,48.3,"(166.42, 168.193]"
174.4,58.4,"(173.513, 175.287]"
169.9,66.1,"(168.193, 169.967]"
172.0,53.0,"(171.74, 173.513]"
177.3,65.1,"(177.06, 178.833]"
175.5,61.2,"(175.287, 177.06]"
177.6,66.7,"(177.06, 178.833]"
171.0,57.3,"(169.967, 171.74]"
178.5,56.9,"(177.06, 178.833]"
175.5,52.5,"(175.287, 177.06]"
166.1,56.0,"(164.647, 166.42]"
178.3,67.1,"(177.06, 178.833]"
178.8,70.7,"(177.06, 178.833]"
169.0,58.1,"(168.193, 169.967]"
168.6,54.1,"(168.193, 169.967]"
171.6,60.7,"(169.967, 171.74]"
168.9,58.4,"(168.193, 169.967]"
175.3,62.4,"(175.287, 177.06]"
173.5,58.9,"(171.74, 173.513]"
170.2,58.4,"(169.967, 171.74]"
179.9,61.4,"(178.833, 180.607]"
173.3,49.7,"(171.74, 173.513]"
175.4,64.6,"(175.287, 177.06]"
172.0,60.2,"(171.74, 173.513]"
170.7,47.0,"(169.967, 171.74]"
171.1,56.6,"(169.967, 171.74]"
165.8,58.7,"(164.647, 166.42]"
179.9,60.8,"(178.833, 180.607]"
177.6,63.7,"(177.06, 178.833]"
163.3,46.6,"(162.873, 164.647]"
173.4,58.3,"(171.74, 173.513]"
168.6,54.6,"(168.193, 169.967]"
173.6,62.9,"(173.513, 175.287]"
166.3,60.3,"(164.647, 166.42]"
177.1,52.4,"(177.06, 178.833]"
172.0,55.6,"(171.74, 173.513]"
174.3,61.1,"(173.513, 175.287]"
169.6,55.3,"(168.193, 169.967]"
177.9,70.5,"(177.06, 178.833]"
168.4,58.5,"(168.193, 169.967]"
175.8,58.6,"(175.287, 177.06]"
175.6,63.3,"(175.287, 177.06]"
171.1,63.9,"(169.967, 171.74]"
178.0,59.7,"(177.06, 178.833]"
178.3,54.9,"(177.06, 178.833]"
173.3,59.7,"(171.74, 173.513]"
173.1,61.9,"(171.74, 173.513]"
178.4,64.2,"(177.06, 178.833]"
181.6,63.8,"(180.607, 182.38]"
175.8,50.9,"(175.287, 177.06]"
178.0,60.5,"(177.06, 178.833]"
179.2,59.8,"(178.833, 180.607]"
168.4,54.4,"(168.193, 169.967]"
161.1,55.8,"(161.073, 162.873]"
169.6,58.1,"(168.193, 169.967]"
175.0,52.4,"(173.513, 175.287]"
164.8,46.3,"(164.647, 166.42]"
170.4,59.1,"(169.967, 171.74]"
173.6,60.9,"(173.513, 175.287]"
166.6,44.7,"(166.42, 168.193]"
172.1,52.0,"(171.74, 173.513]"
172.8,56.0,"(171.74, 173.513]"
171.9,55.8,"(171.74, 173.513]"
168.4,57.4,"(168.193, 169.967]"
176.4,58.3,"(175.287, 177.06]"
162.2,57.7,"(161.073, 162.873]"
172.0,55.4,"(171.74, 173.513]"
177.9,57.9,"(177.06, 178.833]"
178.3,59.7,"(177.06, 178.833]"
167.5,50.8,"(166.42, 168.193]"
177.8,55.4,"(177.06, 178.833]"
174.3,58.3,"(173.513, 175.287]"
174.8,60.2,"(173.513, 175.287]"
177.2,61.7,"(177.06, 178.833]"
166.3,52.6,"(164.647, 166.42]"
174.8,62.1,"(173.513, 175.287]"
167.1,54.4,"(166.42, 168.193]"
170.7,49.4,"(169.967, 171.74]"
176.3,58.2,"(175.287, 177.06]"
175.1,61.4,"(173.513, 175.287]"
172.6,48.5,"(171.74, 173.513]"
166.7,55.9,"(166.42, 168.193]"
168.9,49.7,"(168.193, 169.967]"
172.5,54.1,"(171.74, 173.513]"
175.0,63.6,"(173.513, 175.287]"
178.4,60.8,"(177.06, 178.833]"
173.4,60.1,"(171.74, 173.513]"
180.9,59.3,"(180.607, 182.38]"
175.5,52.4,"(175.287, 177.06]"
163.6,56.2,"(162.873, 164.647]"
180.6,58.1,"(178.833, 180.607]"
173.3,61.7,"(171.74, 173.513]"
167.4,52.9,"(166.42, 168.193]"
171.3,57.5,"(169.967, 171.74]"
187.7,68.7,"(185.927, 187.7]"
177.7,59.1,"(177.06, 178.833]"
176.6,61.8,"(175.287, 177.06]"
165.6,51.4,"(164.647, 166.42]"
172.7,56.8,"(171.74, 173.513]"
173.6,57.9,"(173.513, 175.287]"
165.6,48.6,"(164.647, 166.42]"
173.4,52.8,"(171.74, 173.513]"
174.2,60.7,"(173.513, 175.287]"
163.8,51.2,"(162.873, 164.647]"
174.5,59.3,"(173.513, 175.287]"
175.0,62.5,"(173.513, 175.287]"
176.6,56.9,"(175.287, 177.06]"
171.2,62.8,"(169.967, 171.74]"
168.9,54.8,"(168.193, 169.967]"
167.7,63.6,"(166.42, 168.193]"
184.0,62.0,"(182.38, 184.153]"
162.9,48.1,"(162.873, 164.647]"
180.3,72.1,"(178.833, 180.607]"
171.4,49.3,"(169.967, 171.74]"
182.9,62.9,"(182.38, 184.153]"
165.9,52.6,"(164.647, 166.42]"
170.4,66.4,"(169.967, 171.74]"
163.6,49.8,"(162.873, 164.647]"
176.2,63.1,"(175.287, 177.06]"
173.7,54.4,"(173.513, 175.287]"
165.9,58.2,"(164.647, 166.42]"
170.5,57.7,"(169.967, 171.74]"
173.7,52.3,"(173.513, 175.287]"
168.4,56.6,"(168.193, 169.967]"
170.7,57.6,"(169.967, 171.74]"
167.6,50.5,"(166.42, 168.193]"
176.4,55.6,"(175.287, 177.06]"
172.6,56.3,"(171.74, 173.513]"
172.1,56.5,"(171.74, 173.513]"
165.8,54.2,"(164.647, 166.42]"
187.5,63.2,"(185.927, 187.7]"
169.7,47.6,"(168.193, 169.967]"
169.9,55.8,"(168.193, 169.967]"
167.0,53.9,"(166.42, 168.193]"
167.6,55.1,"(166.42, 168.193]"
169.1,54.1,"(168.193, 169.967]"
170.5,61.2,"(169.967, 171.74]"
167.3,52.7,"(166.42, 168.193]"
169.6,49.5,"(168.193, 169.967]"
174.6,56.3,"(173.513, 175.287]"
168.2,64.0,"(168.193, 169.967]"
167.5,58.6,"(166.42, 168.193]"
174.2,58.0,"(173.513, 175.287]"
169.1,54.8,"(168.193, 169.967]"
170.1,57.9,"(169.967, 171.74]"
172.9,46.0,"(171.74, 173.513]"
178.3,65.8,"(177.06, 178.833]"
166.4,50.3,"(164.647, 166.42]"
171.3,60.3,"(169.967, 171.74]"
171.2,66.4,"(169.967, 171.74]"
176.9,66.0,"(175.287, 177.06]"
167.1,54.8,"(166.42, 168.193]"
167.9,52.5,"(166.42, 168.193]"
173.3,58.2,"(171.74, 173.513]"
172.8,57.8,"(171.74, 173.513]"
181.3,58.0,"(180.607, 182.38]"
